,generated question,gold question
8590,What country did fu ying claim to represent?,which united kingdom newspaper published a chinese ambassador 's opinion that western media had demonized china with torch coverage ?
8591,What was said to be western media bias?,what french newspaper did the chinese media accuse of bias ?
8592,What are some western media reporting about China?,some chinese have accused western media of what in their reportings ?
8593,What country did fu ying claim to represent?,who was the chinese ambassador to the u.k. ?
8594,What country did fu ying claim to represent?,which newspaper published these accusations ?
8595,What was said to be western media bias?,what other newspaper was accused of bias ?
8596,What day did cnn issue a statement on?,who did xinhua accuse of biased reporting on april 17 ?
8597,What day did cnn issue a statement on?,who was accused of bias on april 17 by xinhua ?
8598,What day did cnn issue a statement on?,who wanted cnn to apologize for its insult to chinese people ?
8599,What day did the author write the article?,what article did bbc put out about china just days earlier ?
8600,What may be the reason for the criticism that the bbc received?,who stated that chinese people could access the bbc news website after years of not being able to ?
8601,What day did the protest occur for the bbc?,how many people gathered in protest at these two buildings ?
8602,What may be the reason for the criticism that the bbc received?,who commented that chinese people can look at the bbc news site for the first time ?
8603,What may be the reason for the editorial?,where is bbc banned from reporting ?
8604,"What day did the people's daily publish the report titled overseas chinese rally against biased media coverage, for olympics?",who published `` overseas chinese rally against biased media coverage '' on april 20 ?
8605,"What day did the people's daily publish the report titled overseas chinese rally against biased media coverage, for olympics?",which publication published a report about the chinese rallying against media bias ?
8606,What day of the week did this happen?,what was the chinese government reported running on april 4 ?
8607,Who created the anti-cnn website?,who supposedly created the site ?
8608,Who created the anti-cnn website?,who takes credit for creating the site ?
8609,What may be the probable reason for foreign correspondents in beijing to voice suspicions about anti-cnn?,who felt that the government was involved in the website ?
8610,Who are the attendants for the torch?,how many attendants accompanied the flame during it 's travels ?
8611,What are the attendants job for the beijujing olympic games?,when were the 30 team members sworn in ?
8612,What clothing do the attendants wear to maintain the flame alight,what were their official team outfits ?
8613,Who are the attendants?,which team member has his own fan following ?
8614,Who are the attendants for the torch?,how many attendants were used from the people 's armed police for the flame 's entire journey ?
8615,What are the attendants job for the beijujing olympic games?,when were these 30 sworn in ?
8616,What clothing do the attendants wear to maintain the flame alight,what did these 30 attendants wear ?
8617,Who are the attendants?,what is the attendant who has a large fan base called ?
8618,What may be the probable reason for the people calling for a boycott of french stores?,which french company was boycotted ?
8619,What may be the probable reason for the people calling for a boycott of french stores?,carrefour was boycotted because of which shareholder ?
8620,What may be the probable reason for the people calling for a boycott of french stores?,who was the lvmh group accused of supporting ?
8621,What kind of symbol does the author use to protest in front of the french embassy?,what was burned during these boycotts ?
8622,What may be the probable reason for the people calling for a boycott of french stores?,who was accused of helping the dalai lama ?
8623,What may be the probable reason for the people calling for a boycott of french stores?,boycotters accused france of being pro-seccessionist and what ?
8624,What may be a fact about the people protesting in chinese media?,"the chinese government tried to tamper the boycott , trying to avoid a similar outcome to which protests in 2005 ?"
8625,What may be a fact about the people protesting in chinese media?,which newspaper urged citizens to protest peacefully ?
8626,What may be a fact about the people in question?,which website had mentions of the carrefour boycott removed by the government ?
8627,What may be the probable reason for the people calling for calm?,when did protests in front of carrefour 's stores occur in china ?
8628,What may be a fact about the people protesting in chinese media?,the chinese government did not want a repeat of what protests ?
8629,What may be a fact about the people protesting in chinese media?,which newspaper asked the chinese people to protest peacefully ?
8630,What may be a fact about the people protesting in chinese media?,who removed carrefour boycott comments from some websites ?
8631,What may be the probable reason for the people calling for calm?,what day did protests occur in front of carrefour stores ?
8632,What event did shoichi washizawa host?,who was the mayor of nagano ?
8633,What event did shoichi washizawa host?,how did washizawa refer to the city having the torch relay ?
8634,Who vandalised the temple on the day after in apparent revenge,what was vandalized after a relay event was cancelled there ?
8635,What event did shoichi washizawa host?,who was the mayor of nagano ?
8636,What event did shoichi washizawa host?,what did he call the opportunity for nagano to host the torch event ?
8637,Who vandalised the temple on the day after in apparent revenge,where was the inital opening ceremony to be held in nagano ?
8638,What should be kept burning during an anti-government protest?,in what is the torch flame kept lit when the torch must be off ?
8639,What should be kept burning during an anti-government protest?,"the torch is put out at night , on aircraft , during storms and what else ?"
8640,Who refused to participate in the protest?,who was michael mak kwok-fung ?
8641,what was said about her by the media?,which athlete did the official website call an angel ?
8642,what was said about her by the media?,which media outlets gave jin jing little notice ?
8643,What will happen to the flame for this route?,how many additional teams will help with the mainland china route ?
8644,What will happen to the flame for this route?,how many members are on each of these two teams ?
8645,What kind of legacy does principle of mathematics have?,"despite its imperfection , what are now considered valuable achievements of principia mathematica ?"
8646,What may be the probable reason for the outcome of the debate?,what is the general consensus of the axioms and inference rules declared in principia mathematica ?
8647,What may be the probable reason for the outcome that has been attributed to gödel's incompleteness theorem?,who discovered the incompleteness theorem of 1931 ?
8648,What may be the probable reason for the outcome that has been attributed to gödel's incompleteness theorem?,what did the incompleteness theorem of 1931 indicate regarding principia mathematica ?
8649,What may be the probable reason for the incompleteness theorem of 1931?,why was gödels finding ironic ?
8650,What may be the probable reason for the outcome that has been attributed to gödel's incompleteness theorem?,when was kurt godel 's incompleteness theorem ?
8651,What may be the probable reason for the outcome that has been attributed to gödel's incompleteness theorem?,what did kurt godel 's theorem demonstrate about axioms and the inference rules ?
8652,What may be the probable reason for the legacy of principia mathematica being described as its key role in disproving the possibility of achieving its own stated goals?,godel could n't have come to his conclusion without what book ?
8653,What kind of legacy does principle of mathematics have?,"besides logic and epistemology , what else did principia mathematica connect ?"
8654,What was said as an essay for the purposes of educational writing?,what is the origin of the title of the book ?
8655,What kind of ideas does whitehead advise against the teaching of?,how did whitehead define `` inert ideas '' ?
8656,What was said about inert ideas by whitehead?,what was whitehead 's criticism of the use of inert ideas in education ?
8657,What date did whitehead write the book that the title is based on?,when was `` the aims of education and other essays '' published ?
8658,What date did whitehead write the book that the title is based on?,during what periods of time were the essays and address contained in `` the aims of education and other essays '' composed ?
8659,What date did whitehead write the book that the title is based on?,what year was the aims of education and other essays published ?
8660,What date did whitehead write the book that the title is based on?,what was the aims of education and other essays comprised of ?
8661,What kind of ideas does whitehead advise against the teaching of?,what teaching did whitehead caution against teaching ?
8662,What may be the reason for author to advocate the way she does in the text?,what did whitehead believe regarding the variety of subjects in education ?
8663,What may be the reason for author to advocate the way she does in the text?,how did whitehead propose that students would expand their knowledge beyond the subjects taught in school ?
8664,What kind of school model does whitehead advocate?,what was whitehead 's general opinion of what the school model should be ?
8665,What kind of school model does whitehead advocate?,what was whitehead 's opinion on the inclusion of values and general principles in education ?
8666,What may be the reason for author to advocate the way she does in the text?,whitehead 's education style was to teach what ?
8667,What may be the reason for author to advocate the way she does in the text?,what should whitehead 's students organically link due to his teaching methods ?
8668,What kind of school model does whitehead advocate?,whitehead believed education should be the opposite of what ?
8669,What may be a fact about whitehead's education?,what was the extent of whitehead 's education in philosophy ?
8670,What may be the reason for my profound ignorance of that science?,what was whitehead 's opinion of his own knowledge of metaphysics in that correspondence ?
8671,What may be the reason for author to become an expert in metaphysics?,how did whitehead eventually become regarded in the field of metaphysics ?
8672,What may be the reason for my profound ignorance of that science?,with what friend and former student did whitehead correspond regarding the goals of science ?
8673,What may be a fact about whitehead's education?,what is the highest whitehead was trained in philosophy ?
8674,What may be the reason for my profound ignorance of that science?,what is the relationship between whitehead and russell ?
8675,What may be the reason for author considering himself an amateur in philosophic areas?,what did whitehead consider himself as a philosopher ?
8676,What may be the reason for author to become an expert in metaphysics?,what was whitehead considered as a metaphysician ?
8677,What may be the reason for author to maintain his reputation?,what quotation of whitehead 's was noted by a student in 1927 ?
8678,What may be a fact about this person's attitude towards metaphysics?,what was whitehead 's opinion of basic assumptions in metaphysics ?
8679,What may be the reason for author to maintain an asymptotic response?,what did whitehead feel was necessary regarding basic assumptions in metaphysics ?
8680,What may be the reason for whitehead's attitude?,what was whitehead 's opinion of metaphysical investigations ?
8681,What may be a fact about this person's attitude towards metaphysics?,"what do philosophers do , in whitehead 's view ?"
8682,What may be a fact about this person's attitude towards metaphysics?,assumptions of how the universe works are difficult to see precisely because of what ?
8683,What may be the reason for author to maintain an asymptotic response?,what did whitehead ask people to reimagine in order for philosophy to make progress ?
8684,What may be the reason for whitehead's attitude?,what did whitehead regard as essential to good science and good philosophy ?
8685,What was said to be central for whiteheath in rejecting the cartesian idea?,what cartesian concept did whitehead believe to be erroneous ?
8686,What was said to be central for whiteheath in rejecting the cartesian idea?,what theory did whitehead prefer to the cartesian concept ?
8687,What kind of ontology did whitehead propose?,how did whitehead define `` experience '' ?
8688,What kind of idea does whitehead reject?,how did descartes ' distinguish types of existence ?
8689,What changed in whitehead's views from his early days?,how did whitehead identify his system of metaphysics ?
8690,What was said to be central for whiteheath in rejecting the cartesian idea?,what idea states that reality is fundamentally constructed of bits of matter ?
8691,What was said to be central for whiteheath in rejecting the cartesian idea?,whitehead rejected the cartesian idea in favor of what ?
8692,What was said to be central for whiteheath in rejecting the cartesian idea?,"whitehead believed instead of matter existing independently of each other , it did what ?"
8693,What may be the reason for author to maintain an experiential view?,whitehead believed that reality should be regarded as what ?
8694,What changed in whitehead's views from his early days?,whitehead 's system as `` philosophy of organism '' became widely known as what term ?
8695,What kind of idea does whitehead view people as being?,how did whitehead define the `` fallacy of misplaced concreteness '' ?
8696,What are some types of concepts for which whitehead has shortcomings?,what basic concepts did whitehead believe were questionable ?
8697,What are some types of concepts for which whitehead has shortcomings?,why did he believe those concepts were inaccurate ?
8698,What kind of person does whitehead view people as?,how did whitehead classify what is usually seen as an individual person ?
8699,What are the outcomes of individual experiences that people have?,how did whitehead refer to the combination of a person 's separate experiences ?
8700,What are some types of concepts for which whitehead has shortcomings?,"what are the concepts quality , matter , and form considered ?"
8701,What are some types of concepts for which whitehead has shortcomings?,"concepts such as quality , matter , and form fail to account for what ?"
8702,What are some types of concepts for which whitehead has shortcomings?,what concepts overlook the experiential nature of basic elements ?
8703,What are the outcomes of individual experiences that people have?,what does whitehead call experiences that are progressively connected ?
8704,What kind of person does whitehead view people as?,"instead of being a single person , what does whitehead view a person as ?"
8705,What kind of thing are individual experiences made up of?,what did whitehead believe were essentially the only things that truly exist ?
8706,What kind of thing does having an essence or core identity describe?,"regarding the idea that individuals or objects do n't fundamentally change , what terms can be used to describe what an object or individual actually is ?"
8707,What kind of idea does whitehead view people as being unchanging?,"in that line of thinking , how are changes described ?"
8708,What kind of thing does having an essence or core identity describe?,the idea that people are unchanging and stay the same even through changes is considered what ?
8709,What kind of thing are individual experiences made up of?,"in whitehead 's cosmology , what are the only things that fundamentally exist ?"
8710,What kind of thing are individual experiences made up of?,where do occasions of experience overlap ?
8711,What may be the reason for the missing feature in the idea?,"instead of having an enduring essence , what does whitehead believe ?"
8712,What kind of person are people for you?,"in whitehead 's view , identities do not define people , but what ?"
8713,What may be a problem for you?,why did whitehead think people continued to subscribe to materialistic thinking ?
8714,What may be a reason for you to think that is a person's personality is the same?,what did whitehead believe regarding factors that limit people 's understanding of his concepts ?
8715,What may be a reason for you to think that isn't philosophically or ontologically sound to think that a person is the same from one second to the next?,what did whitehead believe was one of the biggest reasons materialistic thinking endured ?
8716,What may be the probable reason for you saying that a ten-year-old person is quite different by the time he or she turns thirty years old?,what did whitehead state about the belief that a person is exactly the same from moment to moment ?
8717,What may be a reason for you to think that isn't philosophically or ontologically sound to think that a person is the same from one second to the next?,why could n't each moment of each person 's life be given a different proper name ?
8718,What may be a reason for you to think that isn't philosophically or ontologically sound to think that a person is the same from one second to the next?,what did whitehead believe was a culprit in maintaining a materialistic way of thinking ?
8719,What may be a problem for you?,whitehead 's main philosophy on humans changing is what ?
8720,What kind of relationship does materialism view each object as?,what is the general materialistic view of an object ?
8721,What kind of idea does materialism view objects as being?,how the fundamental concept of matter influence people to view objects ?
8722,What does the idea of matter as primary make people think of?,what is whitehead 's belief regarding the importance of relations ?
8723,What kind of idea does materialism view objects as being?,what is the materialistic view of matter in relation to other objects ?
8724,What may be the reason for the text?,what is another issue that whitehead had with materialism ?
8725,What may be the reason for the text?,what obscures the importance of relations according to whitehead ?
8726,What kind of idea does materialism view objects as being?,what does materialism see each object as ?
8727,What kind of relationship does materialism view each object as?,how is each object related to other things ?
8728,What kind of relationship does whitehead view entities as?,how does whitehead characterize anything that exists ?
8729,What force is a thing trying to maintain in relation to a universe?,how does he describe what makes something real ?
8730,What force is a thing trying to maintain in relation to a universe?,"in whitehead 's thinking , what could be said about something that has no effect on any other person or object ?"
8731,What is said to be what the things is?,what did whitehead believe about the concept of relations in the context of defining an entity ?
8732,What kind of relationship does whitehead view entities as?,whitehead believes any entity is in some sense what ?
8733,What force is a thing trying to maintain in relation to a universe?,"if an object made no difference to any other entity , what could be said about it ?"
8734,What is said to be what the things is?,"if relations are not secondary to what a thing is , what is it ?"
8735,What kind of relationship does whitehead view entities as?,what makes up the sum of relations to an entity ?
8736,What force is a thing trying to maintain in relation to a universe?,a real object forces the universe to do what ?
8737,What kind of field does whitehead think people should focus on?,in what areas of the world has interest in whitehead 's work spread in recent decades ?
8738,Who was involved in the first theologians to interact with whitehead's thought?,who was one of the first theologians to try to interact with whitehead 's ideas ?
8739,Who was involved in the making of the lectures that have helped popularize the work of whitehead?,"what was the basis for `` nature , man and god '' ?"
8740,What kind of philosophers are the whiteheadians?,"according to isabelle stengers , what are unifying factors in diverse practices -lrb- like ecology and feminism -rrb- that have become interested in whitehead 's work ?"
8741,What kind of field does whitehead think people should focus on?,what other fields have shown more recent interest in whitehead 's work ?
8742,What was the first school where early followers of whitehead were found?,where were the first followers mainly found ?
8743,What was the first school where early followers of whitehead were found?,who began the interest in whitehead at chicago 's divinity school ?
8744,Who was the first author mentioned above to become an early follower of whitehead?,who id the most well-known whitehead scholar ?
8745,"Who else did professors such as wieman, charles hartshorne, bernard loomer, bernard meland and daniel day williams make whitehead's philosophy arguably the most important intellectual thread running through the divinity school?",what professors established the importance of whitehead 's work ?
8746,What may be the reason for the interest in the focus of whitehead in china?,where is interest in whitehead 's work growing the fastest today ?
8747,What kind of civilization does whitehead view?,what challenges are china using whitehead 's ideas to help manage ?
8748,What kind of civilization does whitehead view?,what types of traditions are china blending with whitehead 's `` constructive post-modern '' philosophy ?
8749,What kind of philosophers are authoring books in China?,what philosphers ' writings are becoming required reading for graduate students in china ?
8750,What may be the reason for the interest in the philosophy of processes in china?,why does john cobb believe china has become interested in process philosophy ?
8751,What may be the reason for the fact that whitehead isn't widely accepted?,what is an example of whitehead 's ideas being counter-intuitive ?
8752,What may be the reason for the fact that whitehead isn't widely accepted?,why do some people believe whitehead 's writings may have restricted his influence ?
8753,What may be the reason for the fact that whitehead isn't widely accepted?,what is a common opinion of metaphysics ?
8754,What are the main ideas of the text?,what is the general opinion of whitehead in most philosophical schools ?
8755,What philosophical school has historically had a close relationship with process philosophy?,what philosophy is closely related to process philosophy ?
8756,Who else did whitehead think highly of?,what pragmatists did whitehead acknowledge in the preface to `` process and reality '' ?
8757,Who advocates process philosophy and pragmatism?,who is a philosopher that promotes process philosophy and pragmatism currently ?
8758,Who edited the papers of one of the founders of pragmatism?,what founder of pragmatism 's collected papers did charles hartshorne ans paul weiss edit ?
8759,Who edited the collection papers of charles sanders peirce?,what important neopragmatist was harthorne 's student ?
8760,What has happened to his theory of gravitation?,how was whitehead 's theory of gravitation received ?
8761,Who are among those who worked for whiteheath?,what physicists in the field of quantum theory have been influenced by whitehead ?
8762,What changed in physics since the view that whitehead is referring to was made obsolete?,what affect did the discovery of gravitational waves have on whitehead 's theory ?
8763,What are gravitational waves?,what are gravitational waves ?
8764,What must be regarded as an often-locally-adequate approximation?,how must whiteheads cosmology now be considered ?
8765,What was the first author of for the common good?,what award did cobb and daly receive for the book ?
8766,Who written's'it too late?,what was the first book on environmental ethics by an individual author ?
8767,What was the first author of for the common good?,on which economics book did cobb collaborate with herman daly ?
8768,What was the first author of the text that the main idea of the passage aims to challenge?,what other economics book did cobb go on to author ?
8769,What was the first author of the text that the main idea of the passage aims to challenge?,what was the goal of cobb 's second book on economics ?
8770,Who developed the feels model?,who established the feels model in china ?
8771,What are the five things felt for in curriculum and educational practices?,what does `` feels '' stand for ?
8772,What purpose does the feels model have for people?,what is the purpose of the feels model ?
8773,Who sponsored the feels model?,what entities are working together to promote the feels model ?
8774,Who is said to be having an explicitly whiteheadian stance towards management?,what prominent business professor has been heavily influenced by whitehead ?
8775,Who is said to be having an explicitly whiteheadian stance towards management?,what does dibben call his philosophy on management and business administration ?
8776,What kind of texts has mark dibben published?,in what fields has dibben published two books and other papers ?
8777,What kind of ideology does whitehead espouse?,what business fields has whitehead influenced ?
8778,What may be a fact about this person's work?,"according to dibben , what are the benefits of applying process metaphysics to examining management and business administration as a component of social science ?"
8779,What changed in Whitehead?,during which decade did whitehead 's focus start shifting away from mathematics ?
8780,What changed in Whitehead?,"after moving away from mathematics , what subjects did whitehead explore ?"
8781,What kind of philosopher was whitehead?,"as opposed to physical objects , what did whitehead believe reality is composed of ?"
8782,What kind of philosopher was whitehead?,what was the predominant theory of reality that whitehead opposed ?
8783,What are process texts?,what book of whitehead 's is now considered a primary source of process philosophy ?
8784,What changed in Whitehead?,what did whitehead first study ?
8785,What changed in Whitehead?,what was whitehead 's second area of study ?
8786,What changed in Whitehead?,what was whitehead 's final area of study ?
8787,What changed in Whitehead?,what type of system did he develop ?
8788,What kind of philosopher was whitehead?,what did whitehead argue reality consists of ?
8789,What place did north whitehead live in?,where was alfred north whitehead born ?
8790,What place did north whitehead live in?,in what year was whitehead born ?
8791,Who was Alfred north whitehead's father?,who founded chatham house academy ?
8792,Who was Alfred north whitehead's father?,what was whitehead 's father 's profession ?
8793,Who was Alfred North Whitehead's mother?,who was whitehead 's mother ?
8794,What place did north whitehead live in?,where was alfred north whitehead born ?
8795,What place did north whitehead live in?,what year was whitehead born ?
8796,Who was Alfred north whitehead's father?,what was whitehead 's father 's profession ?
8797,Who was Alfred North Whitehead's mother?,what was whitehead 's mother 's name ?
8798,What may be the reason for the poor relation between alfred north whitehead and his mother?,what was whitehead 's wife 's name ?
8799,What may be the reason for author to become part of imperial colony?,in which educational system was whitehead employed in the late 1910s ?
8800,What was the first name of the person who accepted a number of high administrative positions within the university of london system?,what was whitehead 's title at the university of london in late 1918 ?
8801,What was the first name of the person who accepted a number of high administrative positions within the university of london system?,what was whitehead 's last position before he traveled to america ?
8802,What was the first name of the person who accepted a number of high administrative positions within the university of london system?,in which year did whitehead relocate to america ?
8803,What may be the reason for author to become an educational administrator?,what degree program did whitehead contribute to establishing at university of london ?
8804,What may be the reason for author to become part of imperial colony?,when did whitehead accept administrative positions ?
8805,What was the first name of the person who accepted a number of high administrative positions within the university of london system?,what was he elected at the university of london ?
8806,What may be the reason for author to become part of imperial colony?,where did whitehead accept administrative positions ?
8807,What was the first name of the person who accepted a number of high administrative positions within the university of london system?,when did whitehead go to america ?
8808,What author did whitehead write for?,who authored whitehead 's biography that is considered to be the most reliable description of whitehead 's life ?
8809,What may be the reason for the paper being destroyed?,why was no nachlass left behind after whitehead 's death ?
8810,"What character traits did author victor lowe have in writing, in response to whitehead's writing?",what was whitehead 's opinion on privacy ?
8811,What may be the reason for the comment that the main character's author made?,what did the author of whitehead 's biography comment on the first page regarding the difficulty of obtaining information about whitehead ?
8812,What author did whitehead write for?,how many volumes is the biography of whitehead ?
8813,What author did whitehead write for?,who wrote the biography of whitehead ?
8814,What may be the reason for the paper being destroyed?,what was whitehead 's wish upon his death for his family ?
8815,"What character traits did author victor lowe have in writing, in response to whitehead's writing?",what did whitehead believe in so profusely that it was difficult to write a biography on him ?
8816,What are the first two books of the author mentioned in the text?,what was whitehead 's first published book on mathematics ?
8817,What are the first two books of the author mentioned in the text?,with what mathematician and philosopher did whitehead collaborate to write principia mathematica ?
8818,What kind of audience are the above books aimed at?,who was the intended audience of whitehead 's first two mathematics books ?
8819,What are the first two books of the author mentioned in the text?,what was whitehead 's final book on mathematics ?
8820,What kind of book author is whitehead?,what is the significance of principia mathematica currently ?
8821,What are the first two books of the author mentioned in the text?,what did whitehead publish numerous articles about ?
8822,What are the first two books of the author mentioned in the text?,how many books on mathematics did whitehead write ?
8823,What are the first two books of the author mentioned in the text?,who co-wrote principia mathematica with whitehead ?
8824,What kind of book author is whitehead?,which of whitehead 's books is known as one of the most important works in mathematical logical ?
8825,What are the first two books of the author mentioned in the text?,when did whitehead write his first book ?
8826,What may be the reason for the need to expand algebraic structures beyond the associatively multiplicative class?,what did lie algebras and hyperbolic quaternions demonstrate a need for ?
8827,What may be the probable reason for macfarlane's statement,how did alexander macfarlane summarize the relationship between different methods in `` a treatise on algebra '' in his review ?
8828,What may be the reason for the unity of design?,what was g.b. matthew 's opinion of `` a treatise on algebra '' ?
8829,What may be the reason for the need to expand algebraic structures beyond the associatively multiplicative class?,lie algebras and hypobolic quanternions drew attention to the need for what ?
8830,What may be the reason for the unity of design?,what did reviewer gb mathews say algebraic structures possessed ?
8831,What may be the probable reason for macfarlane's statement,reviewer alexander macfarlane believed that the main idea of the work is a comparative study of what ?
8832,What may be the reason for the delay?,how long did whitehead and russell expect to spend creating principia mathematica ?
8833,What may be the reason for the delay?,how long did it actually take to complete principia mathematica ?
8834,What may be a fact about this story?,why was there a funding shortfall for the publishing of princpia mathematica ?
8835,What may be a fact about this story?,who supplied the funding to cover the shortfall ?
8836,What may be the probable reason for this statement?,how prevalent is principia mathematica today ?
8837,What may be the reason for the delay?,how long did whitehead and russell think it would take them to complete principia mathematica ?
8838,What may be the reason for the delay?,how long did it actually take whitehead and russell to complete principia mathematica ?
8839,What may be a fact about this story?,how many volumes was principia mathematica ?
8840,What may be a fact about this story?,how many pages was principia mathematica ?
8841,What may be a fact about this story?,who paid to publish principia mathematica ?
8842,What kind of philosophers are considered to have struggled with whitehead's work?,what is the general opinion of the difficulty level of whitehead 's work in philosophy ?
8843,What was said to be one of the most difficult to understand in the western canon?,what lectures did whitehead present in 1927-28 ?
8844,What was said to be one of the most difficult to understand in the western canon?,under what name were those lectures later published ?
8845,What may be a fact about this person?,who also struggled to follow whitehead 's writings ?
8846,What was said to be one of the most difficult to understand in the western canon?,"following arthur eddington 's lectures , what did whitehead publish ?"
8847,What was said to be one of the most difficult to understand in the western canon?,when did whitehead delivery the gifford lectures ?
8848,What kind of philosophers are considered to have struggled with whitehead's work?,"in all of the western canon , what is whitehead 's work considered ?"
8849,What may be the reason for Mathews'frustration with Whitehead's books?,what affect did matthews ' opinion of the difficulty of whitehead 's works have on his interest in them ?
8850,Who was involved in authoricles made by the main character?,how did many philosophers and theologians at chicago 's divinity school view whitehead 's work ?
8851,What event did the author discuss above?,what expert on whitehead delivered a lecture at the school to explain whitehead 's ideas ?
8852,What may be the reason for the academy being closely associated with whitehead's thought?,what was the result of that lecture ?
8853,What may be the reason for Mathews'frustration with Whitehead's books?,who was frustrated in whitehead 's books but still interested ?
8854,Who was involved in authoricles made by the main character?,what school recognized the importance of whitehead 's work ?
8855,What event did the author discuss above?,when was henry nelson wieman invited to the chicago divinity school ?
8856,What event did the author discuss above?,who was invited to the chicago divinity school as one of whitehead 's only experts ?
8857,What may be the reason for the academy being closely associated with whitehead's thought?,what happened after henry nelson wieman gave a lecture about whitehead ?
8858,What may be a fact about process and reality?,how has `` process and reality '' been described ?
8859,What may be a fact about process and reality?,what did isabelle stengers say is the reason that `` process and reality '' is not commonly read and understood ?
8860,What may be the reason for author to question the way the universe works?,what effect did whitehead have on the future of metaphysics ?
8861,What may be a fact about process and reality?,which publication is considered the most impressive metaphysical text ?
8862,What may be a fact about process and reality?,who thought process and reality was little-read because the reader has to separate them from normal thought ?
8863,What may be the reason for author to question the way the universe works?,what philosophy in the west was challenged by whitehead ?
8864,What may be the reason for author to question the way the universe works?,what was whitehead 's philosophy able to anticipate for the 21st century ?
8865,What may be the reason for author to question the way the universe works?,what was the outcome of anticipating the scientific and philosophical problems whitehead proposed ?
8866,What kind of law does whitehead say is the way all entities respond to other entities?,what did whitehead believe regarding creativity ?
8867,What may be a valid explanation for people calling creativity the absolute principle of existence?,"an entity is a sum of relations , a valuation of them and what else ?"
8868,What may be a fact about this person's mental model?,most entities do not have what ?
8869,What may be a reason for the people not being able to predict?,"all entities , being unable to predict behavior , are because of what ?"
8870,What kind of law does whitehead say is the way all entities respond to other entities?,not being able to predict what any entity is going to do is what principle b whitehead ?
8871,What may be a valid explanation for people calling creativity the absolute principle of existence?,"other than the combination of its relations , what else defines an entity ?"
8872,What kind of law does whitehead say is the way all entities respond to other entities?,what did whitehead believe about an entity 's relation to other entities ?
8873,What word did whitehead use for the term prehension?,what is the origin of the word `` prehension '' ?
8874,What is said to make whitehead reject the theory of representative perception?,what is a basic description of the theory of representative perception ?
8875,What word did whitehead use for the term prehension?,what term did whitehead describe that perception is not limited to the living ?
8876,What word did whitehead use for the term prehension?,what language does the term `` prehensio '' come from ?
8877,What word did whitehead use for the term prehension?,what does the word `` prehensio '' translate into ?
8878,What kind of perception does the author view prehension as referring to?,what entities does the term prehension apply to ?
8879,What are the types of functions of the two modes of perception?,how many modes does perception occur in according to whitehead ?
8880,What kind of perception does the author view prehension as referring to?,what is prehension used to define ?
8881,What kind of entities are being composed by their perceptions?,what does the term `` prehension '' signify regarding an entities perceptions and relations ?
8882,What are the types of functions of the two modes of perception?,what did whitehead state are the two types of perception ?
8883,What kind of sense does causal efficacy have?,how do the senses affect causal efficacy ?
8884,What kind of impression does presentational immediacy have?,what can be said about the accuracy of presentational immediacy ?
8885,What kind of relationship does whitehead describe causal efficacy as?,what is the term for the experience dominating primitive organisms that have a sense for fate ?
8886,What kind of impression does presentational immediacy have unmediated by symbols?,what is the other term for `` pure sense perception '' ?
8887,What kind of impression does presentational immediacy have unmediated by symbols?,what is it called if you mistake a reflection in a mirror for the real thing ?
8888,What kind of relationship does whitehead describe causal efficacy as?,how does whitehead define causal efficacy ?
8889,What kind of impression does presentational immediacy have unmediated by symbols?,how does whitehead define presentational immediacy ?
8890,What kind of relationship does symbolic reference have?,which concept does whitehead state is more dominant in a lower mentality ?
8891,What kind of relationship does symbolic reference have with the way humans and animals act?,what is whitehead 's term for the two modes of perceptions combining ?
8892,What kind of relationship does symbolic reference have?,what dominates more basic mentality in symbolic reference ?
8893,What kind of relationship does symbolic reference have with the way humans and animals act?,what does symbolic reference link appearance with ?
8894,What kind of relationship does symbolic reference have?,what does having sense perceptions conclude about a person ?
8895,What kind of relationship does symbolic reference have with the way humans and animals act?,what is the purpose of symbolic reference ?
8896,What kind of relationship does appearance have to causation?,how does whitehead describe the process of a typical person noticing a chair ?
8897,What might be the author's purpose in writing this text?,how might an artist view a chair differently than a typical person ?
8898,What kind of animal would whitehead say would jump onto a chair in a similar way to a human?,how does whitehead say a dog may interpret the presence of a chair ?
8899,What may be the probable reason for making this observation?,what observation did whitehead make about life ?
8900,What purpose do higher forms of living serve?,what did whitehead state was the biggest indicator of a higher form of life ?
8901,What purpose do higher forms of living serve?,what did whitehead believe are the goals f life ?
8902,What purpose does whitehead see for life?,what did whitehead believe was the fundamental purpose of life ?
8903,What may be the probable reason for making this observation?,whitehead observes that life is deficient in what ?
8904,What purpose do higher forms of living serve?,what are higher life forms actively engaged in ?
8905,What purpose do higher forms of living serve?,how many goals of living is there ?
8906,What purpose does whitehead see for life?,whitehead sees life as directed towards what purpose ?
8907,What may be the probable reason for whitehearing life as completely unintelligible?,"without whitehead 's proposed purpose , life would be what ?"
8908,What may be the probable reason for humans and rocks being so different in evolution?,what was whitehead 's response to questions about why complex life evolved ?
8909,What kind of idea does whitehead view god as a king,what was whitehead 's description of god ?
8910,Who owns the attributes which belonged exclusively to caesar in whitehead's definition of god?,what is whitehead 's most well-known critical statement regarding the christian notion of god ?
8911,What kind of doctrine does whitehead view god as a king?,what qualities dis whitehead state that christians attributed to their version of god ?
8912,What may be the reason for author to emphasize the non-religious aspects of god?,what was whitehead 's belief about god in relation to religion ?
